t_sec,x_m,y_m,z_m,scale
7590.646060,-0.045670,-0.979592,-0.195739,0.000000
7590.659943,-0.045670,-0.979592,-0.195739,0.000000
7590.667472,-0.045670,-0.979592,-0.195739,0.000000
7590.675975,-0.045670,-0.979592,-0.195739,0.000000
7590.684125,-0.045670,-0.979592,-0.195739,0.000000
7590.692327,-0.045670,-0.979592,-0.195739,0.000000
7590.709115,-0.045670,-0.979592,-0.195739,0.000000
7590.717599,-0.045670,-0.979592,-0.195739,0.000000
7590.724618,-0.045670,-0.979592,-0.195739,0.000000
7590.732159,-0.045670,-0.979592,-0.195739,0.000000
7590.749543,-0.045670,-0.979592,-0.195739,0.000000
7590.756967,-0.045670,-0.979592,-0.195739,0.000000
7590.766159,-0.045670,-0.979592,-0.195739,0.000000
7590.777878,-0.045670,-0.979592,-0.195739,0.000000
7590.790492,-0.045670,-0.979592,-0.195739,0.000000
7590.798093,-0.045670,-0.979592,-0.195739,0.000000
7590.812038,-0.045670,-0.979592,-0.195739,0.000000
7590.821392,-0.045670,-0.979592,-0.195739,0.000000
7590.829605,-0.045670,-0.979592,-0.195739,0.000000
7590.842305,-0.045670,-0.979592,-0.195739,0.000000
7590.854561,-0.045670,-0.979592,-0.195739,0.000000
7590.862096,-0.045670,-0.979592,-0.195739,0.000000
7590.871790,-0.045670,-0.979592,-0.195739,0.000000
7590.883469,-0.045670,-0.979592,-0.195739,0.000000
7590.890378,-0.045670,-0.979592,-0.195739,0.000000
7590.901320,-0.045670,-0.979592,-0.195739,0.000000
7590.908126,-0.045670,-0.979592,-0.195739,0.000000
7590.919861,-0.045670,-0.979592,-0.195739,0.000000
7590.927668,-0.045670,-0.979592,-0.195739,0.000000
7590.935368,-0.045670,-0.979592,-0.195739,0.000000
7590.942368,-0.045670,-0.979592,-0.195739,0.000000
7590.953889,-0.045670,-0.979592,-0.195739,0.000000
7590.960991,-0.045670,-0.979592,-0.195739,0.000000
7590.971878,-0.045670,-0.979592,-0.195739,0.000000
7590.981637,-0.045670,-0.979592,-0.195739,0.000000
7590.988894,-0.045670,-0.979592,-0.195739,0.000000
7590.998654,-0.045670,-0.979592,-0.195739,0.000000
7591.005241,-0.045670,-0.979592,-0.195739,0.000000
7591.014889,-0.045670,-0.979592,-0.195739,0.000000
7591.021703,-0.045670,-0.979592,-0.195739,0.000000
7591.028507,-0.045670,-0.979592,-0.195739,0.000000
7591.038381,-0.045670,-0.979592,-0.195739,0.000000
7591.048051,-0.045670,-0.979592,-0.195739,0.000000
7591.055056,-0.045670,-0.979592,-0.195739,0.000000
7591.068860,-0.045670,-0.979592,-0.195739,0.000000
7591.075636,-0.045670,-0.979592,-0.195739,0.000000
7591.086447,-0.045670,-0.979592,-0.195739,0.000000
7591.097759,-0.045670,-0.979592,-0.195739,0.000000
7591.104540,-0.045670,-0.979592,-0.195739,0.000000
7591.111271,-0.045670,-0.979592,-0.195739,0.000000
7591.120874,-0.045670,-0.979592,-0.195739,0.000000
7591.131456,-0.045670,-0.979592,-0.195739,0.000000
7591.138138,-0.045670,-0.979592,-0.195739,0.000000
7591.152896,-0.045670,-0.979592,-0.195739,0.000000
7591.159731,-0.045670,-0.979592,-0.195739,0.000000
7591.169709,-0.045670,-0.979592,-0.195739,0.000000
7591.177248,-0.045670,-0.979592,-0.195739,0.000000
7591.187264,-0.045670,-0.979592,-0.195739,0.000000
7591.194348,-0.045670,-0.979592,-0.195739,0.000000
7591.205366,-0.045670,-0.979592,-0.195739,0.000000
7591.215174,-0.045670,-0.979592,-0.195739,0.000000
7591.222027,-0.045670,-0.979592,-0.195739,0.000000
7591.231462,-0.045670,-0.979592,-0.195739,0.000000
7591.238222,-0.045670,-0.979592,-0.195739,0.000000
7591.253014,-0.045670,-0.979592,-0.195739,0.000000
7591.259693,-0.045670,-0.979592,-0.195739,0.000000
7591.269640,-0.045670,-0.979592,-0.195739,0.000000
7591.277202,-0.045670,-0.979592,-0.195739,0.000000
7591.287131,-0.045670,-0.979592,-0.195739,0.000000
7591.294226,-0.045670,-0.979592,-0.195739,0.000000
7591.304894,-0.045670,-0.979592,-0.195739,0.000000
7591.314759,-0.045670,-0.979592,-0.195739,0.000000
7591.321581,-0.045670,-0.979592,-0.195739,0.000000
7591.331367,-0.045670,-0.979592,-0.195739,0.000000
7591.338026,-0.045670,-0.979592,-0.195739,0.000000
7591.344772,-0.045670,-0.979592,-0.195739,0.000000
7591.354355,-0.045670,-0.979592,-0.195739,0.000000
7591.364701,-0.045670,-0.979592,-0.195739,0.000000
7591.371587,-0.045670,-0.979592,-0.195739,0.000000
7591.386838,-0.045670,-0.979592,-0.195739,0.000000
7591.394142,-0.045670,-0.979592,-0.195739,0.000000
7591.403620,-0.045670,-0.979592,-0.195739,0.000000
7591.410624,-0.045670,-0.979592,-0.195739,0.000000
7591.421056,-0.045670,-0.979592,-0.195739,0.000000
7591.436650,-0.045670,-0.979592,-0.195739,0.000000
7591.444319,-0.045670,-0.979592,-0.195739,0.000000
7591.453177,-0.045670,-0.979592,-0.195739,0.000000
7591.460664,-0.045670,-0.979592,-0.195739,0.000000
7591.471119,-0.045670,-0.979592,-0.195739,0.000000
7591.481338,-0.045670,-0.979592,-0.195739,0.000000
7591.487994,-0.045670,-0.979592,-0.195739,0.000000
7591.494530,-0.045670,-0.979592,-0.195739,0.000000
7591.504771,-0.045670,-0.979592,-0.195739,0.000000
7591.515271,-0.045670,-0.979592,-0.195739,0.000000
7591.522090,-0.045670,-0.979592,-0.195739,0.000000
7591.536274,-0.045670,-0.979592,-0.195739,0.000000
7591.584735,-0.045670,-0.979592,-0.195739,0.000000
7591.610918,-0.045670,-0.979592,-0.195739,0.000000
7591.654463,-0.045670,-0.979592,-0.195739,0.000000
7591.670768,-0.045670,-0.979592,-0.195739,0.000000
7591.718556,-0.045670,-0.979592,-0.195739,0.000000
7591.739324,-0.045670,-0.979592,-0.195739,0.000000
7591.787771,-0.045670,-0.979592,-0.195739,0.000000
7591.810718,-0.045670,-0.979592,-0.195739,0.000000
7591.858108,-0.045670,-0.979592,-0.195739,0.000000
7591.882541,-0.045670,-0.979592,-0.195739,0.000000
7591.932359,-0.045670,-0.979592,-0.195739,0.000000
7591.958709,-0.045670,-0.979592,-0.195739,0.000000
7592.004232,-0.045670,-0.979592,-0.195739,0.000000
7592.024143,-0.045670,-0.979592,-0.195739,0.000000
7592.071063,-0.045670,-0.979592,-0.195739,0.000000
7592.092959,-0.045670,-0.979592,-0.195739,0.000000
7592.143738,-0.045670,-0.979592,-0.195739,0.000000
7592.164910,-0.045670,-0.979592,-0.195739,0.000000
7592.213293,-0.045670,-0.979592,-0.195739,0.000000
7592.236286,-0.045670,-0.979592,-0.195739,0.000000
7592.280226,-0.045670,-0.979592,-0.195739,0.000000
7592.301182,-0.045670,-0.979592,-0.195739,0.000000
7592.348562,-0.045670,-0.979592,-0.195739,0.000000
7592.369475,-0.045670,-0.979592,-0.195739,0.000000
7592.414544,-0.045670,-0.979592,-0.195739,0.000000
7592.435707,-0.045670,-0.979592,-0.195739,0.000000
7592.481974,-0.045670,-0.979592,-0.195739,0.000000
7592.502233,-0.045670,-0.979592,-0.195739,0.000000
7592.550766,-0.045670,-0.979592,-0.195739,0.000000
7592.585425,-0.045670,-0.979592,-0.195739,0.000000
7592.620921,-0.045670,-0.979592,-0.195739,0.000000
7592.638549,-0.045670,-0.979592,-0.195739,0.000000
7592.685799,-0.045670,-0.979592,-0.195739,0.000000
7592.706396,-0.045670,-0.979592,-0.195739,0.000000
7592.753890,-0.045670,-0.979592,-0.195739,0.000000
7592.775314,-0.045670,-0.979592,-0.195739,0.000000
7592.823134,-0.045670,-0.979592,-0.195739,0.000000
7592.838671,-0.045670,-0.979592,-0.195739,0.000000
7592.895830,-0.045670,-0.979592,-0.195739,0.000000
7592.920191,-0.045670,-0.979592,-0.195739,0.000000
7592.965055,-0.045670,-0.979592,-0.195739,0.000000
7592.987802,-0.045670,-0.979592,-0.195739,0.000000
7593.031035,-0.045670,-0.979592,-0.195739,0.000000
7593.053939,-0.045670,-0.979592,-0.195739,0.000000
7593.101396,-0.045670,-0.979592,-0.195739,0.000000
7593.124843,-0.045670,-0.979592,-0.195739,0.000000
7593.168374,-0.045670,-0.979592,-0.195739,0.000000
7593.191744,-0.045670,-0.979592,-0.195739,0.000000
7593.238071,-0.045670,-0.979592,-0.195739,0.000000
7593.254890,-0.045670,-0.979592,-0.195739,0.000000
7593.304969,-0.045670,-0.979592,-0.195739,0.000000
7593.324278,-0.045670,-0.979592,-0.195739,0.000000
7593.373208,-0.045670,-0.979592,-0.195739,0.000000
7593.389836,-0.045670,-0.979592,-0.195739,0.000000
7593.450371,-0.045670,-0.979592,-0.195739,0.000000
7593.471626,-0.045670,-0.979592,-0.195739,0.000000
7593.518510,-0.045670,-0.979592,-0.195739,0.000000
7593.539908,-0.045670,-0.979592,-0.195739,0.000000
7593.586721,-0.045670,-0.979592,-0.195739,0.000000
7593.605750,-0.045670,-0.979592,-0.195739,0.000000
7593.622607,-0.045670,-0.979592,-0.195739,0.000000
7593.668260,-0.045670,-0.979592,-0.195739,0.000000
7593.687649,-0.045670,-0.979592,-0.195739,0.000000
7593.734766,-0.045670,-0.979592,-0.195739,0.000000
7593.756504,-0.045670,-0.979592,-0.195739,0.000000
7593.806136,-0.045670,-0.979592,-0.195739,0.000000
7593.823468,-0.045670,-0.979592,-0.195739,0.000000
7593.867419,-0.045670,-0.979592,-0.195739,0.000000
7593.888666,-0.045670,-0.979592,-0.195739,0.000000
7593.940336,-0.045670,-0.979592,-0.195739,0.000000
7593.956662,-0.045670,-0.979592,-0.195739,0.000000
7594.005396,-0.045670,-0.979592,-0.195739,0.000000
7594.029332,-0.045670,-0.979592,-0.195739,0.000000
7594.074566,-0.045670,-0.979592,-0.195739,0.000000
7594.112748,-0.045670,-0.979592,-0.195739,0.000000
7594.149946,-0.045670,-0.979592,-0.195739,0.000000
7594.172780,-0.045670,-0.979592,-0.195739,0.000000
7594.221668,-0.045670,-0.979592,-0.195739,0.000000
7594.241059,-0.045670,-0.979592,-0.195739,0.000000
7594.284959,-0.045670,-0.979592,-0.195739,0.000000
7594.310883,-0.045670,-0.979592,-0.195739,0.000000
7594.356423,-0.045670,-0.979592,-0.195739,0.000000
7594.373469,-0.045670,-0.979592,-0.195739,0.000000
7594.431684,-0.045670,-0.979592,-0.195739,0.000000
7594.456760,-0.045670,-0.979592,-0.195739,0.000000
7594.500818,-0.045670,-0.979592,-0.195739,0.000000
7594.523388,-0.045670,-0.979592,-0.195739,0.000000
7594.575763,-0.045670,-0.979592,-0.195739,0.000000
7594.592855,-0.045670,-0.979592,-0.195739,0.000000
7594.654450,-0.045670,-0.979592,-0.195739,0.000000
7594.671319,-0.045670,-0.979592,-0.195739,0.000000
7594.731608,-0.045670,-0.979592,-0.195739,0.000000
7594.756181,-0.045670,-0.979592,-0.195739,0.000000
7594.802198,-0.045670,-0.979592,-0.195739,0.000000
7594.825611,-0.045670,-0.979592,-0.195739,0.000000
7594.868380,-0.045670,-0.979592,-0.195739,0.000000
7594.888821,-0.045670,-0.979592,-0.195739,0.000000
7594.939205,-0.045670,-0.979592,-0.195739,0.000000
7594.957274,-0.045670,-0.979592,-0.195739,0.000000
7595.009934,-0.045670,-0.979592,-0.195739,0.000000
7595.033288,-0.045670,-0.979592,-0.195739,0.000000
7595.080373,-0.045670,-0.979592,-0.195739,0.000000
7595.101841,-0.045670,-0.979592,-0.195739,0.000000
7595.148766,-0.045670,-0.979592,-0.195739,0.000000
7595.171214,-0.045670,-0.979592,-0.195739,0.000000
7595.219429,-0.045670,-0.979592,-0.195739,0.000000
7595.243141,-0.045670,-0.979592,-0.195739,0.000000
7595.286329,-0.045670,-0.979592,-0.195739,0.000000
7595.307102,-0.045670,-0.979592,-0.195739,0.000000
7595.357600,-0.045670,-0.979592,-0.195739,0.000000
7595.373131,-0.045670,-0.979592,-0.195739,0.000000
7595.434265,-0.045670,-0.979592,-0.195739,0.000000
7595.466153,-0.045670,-0.979592,-0.195739,0.000000
7595.504000,-0.045670,-0.979592,-0.195739,0.000000
7595.522873,-0.045670,-0.979592,-0.195739,0.000000
7595.568279,-0.045670,-0.979592,-0.195739,0.000000
7595.600857,-0.045670,-0.979592,-0.195739,0.000000
7595.639777,-0.045670,-0.979592,-0.195739,0.000000
7595.656860,-0.045670,-0.979592,-0.195739,0.000000
7595.702364,-0.045670,-0.979592,-0.195739,0.000000
7595.721322,-0.045670,-0.979592,-0.195739,0.000000
7595.771829,-0.045670,-0.979592,-0.195739,0.000000
7595.793772,-0.045670,-0.979592,-0.195739,0.000000
7595.841126,-0.045670,-0.979592,-0.195739,0.000000
7595.857402,-0.045670,-0.979592,-0.195739,0.000000
7595.911354,-0.045670,-0.979592,-0.195739,0.000000
7595.932597,-0.045670,-0.979592,-0.195739,0.000000
7595.979765,-0.045670,-0.979592,-0.195739,0.000000
7596.003440,-0.045670,-0.979592,-0.195739,0.000000
7596.050349,-0.045670,-0.979592,-0.195739,0.000000
7596.071961,-0.045670,-0.979592,-0.195739,0.000000
7596.119476,-0.045670,-0.979592,-0.195739,0.000000
7596.143090,-0.045670,-0.979592,-0.195739,0.000000
7596.190042,-0.045670,-0.979592,-0.195739,0.000000
7596.209501,-0.045670,-0.979592,-0.195739,0.000000
7596.257969,-0.045670,-0.979592,-0.195739,0.000000
7596.275879,-0.045670,-0.979592,-0.195739,0.000000
7596.322875,-0.045670,-0.979592,-0.195739,0.000000
7596.344441,-0.045670,-0.979592,-0.195739,0.000000
7596.392570,-0.045670,-0.979592,-0.195739,0.000000
7596.416037,-0.045670,-0.979592,-0.195739,0.000000
7596.460838,-0.045670,-0.979592,-0.195739,0.000000
7596.481854,-0.045670,-0.979592,-0.195739,0.000000
7596.536475,-0.045670,-0.979592,-0.195739,0.000000
7596.558397,-0.045670,-0.979592,-0.195739,0.000000
7596.604754,-0.045670,-0.979592,-0.195739,0.000000
7596.625535,-0.045670,-0.979592,-0.195739,0.000000
7596.674154,-0.045670,-0.979592,-0.195739,0.000000
7596.689681,-0.045670,-0.979592,-0.195739,0.000000
7596.752232,-0.045670,-0.979592,-0.195739,0.000000
7596.772553,-0.045670,-0.979592,-0.195739,0.000000
7596.819298,-0.045670,-0.979592,-0.195739,0.000000
7596.837998,-0.045670,-0.979592,-0.195739,0.000000
7596.899858,-0.045670,-0.979592,-0.195739,0.000000
7596.922414,-0.045670,-0.979592,-0.195739,0.000000
7596.963016,-0.045670,-0.979592,-0.195739,0.000000
7596.996055,-0.045670,-0.979592,-0.195739,0.000000
7597.039858,-0.045670,-0.979592,-0.195739,0.000000
7597.059912,-0.045670,-0.979592,-0.195739,0.000000
7597.110582,-0.045670,-0.979592,-0.195739,0.000000
7597.135846,-0.045670,-0.979592,-0.195739,0.000000
7597.178843,-0.045670,-0.979592,-0.195739,0.000000
7597.208893,-0.045670,-0.979592,-0.195739,0.000000
7597.255197,-0.045670,-0.979592,-0.195739,0.000000
7597.273851,-0.045670,-0.979592,-0.195739,0.000000
7597.328161,-0.045670,-0.979592,-0.195739,0.000000
7597.355966,-0.045670,-0.979592,-0.195739,0.000000
7597.402242,-0.045670,-0.979592,-0.195739,0.000000
7597.418765,-0.045670,-0.979592,-0.195739,0.000000
7597.463700,-0.045670,-0.979592,-0.195739,0.000000
7597.499290,-0.045670,-0.979592,-0.195739,0.000000
7597.538284,-0.045670,-0.979592,-0.195739,0.000000
7597.556849,-0.045670,-0.979592,-0.195739,0.000000
7597.601819,-0.045670,-0.979592,-0.195739,0.000000
7597.633742,-0.045670,-0.979592,-0.195739,0.000000
7597.694153,-0.045670,-0.979592,-0.195739,0.000000
7597.744534,-0.045670,-0.979592,-0.195739,0.000000
7597.772017,-0.045670,-0.979592,-0.195739,0.000000
7597.801753,-0.045670,-0.979592,-0.195739,0.000000
7597.846700,-0.045670,-0.979592,-0.195739,0.000000
7597.856876,-0.045670,-0.979592,-0.195739,0.000000
7597.865067,-0.045670,-0.979592,-0.195739,0.000000
7597.874152,-0.045670,-0.979592,-0.195739,0.000000
7597.914403,-0.045670,-0.979592,-0.195739,0.000000
7597.923340,-0.045670,-0.979592,-0.195739,0.000000
7597.930260,-0.045670,-0.979592,-0.195739,0.000000
7597.940616,-0.045670,-0.979592,-0.195739,0.000000
7597.983302,-0.045670,-0.979592,-0.195739,0.000000
7597.991661,-0.045670,-0.979592,-0.195739,0.000000
7598.002594,-0.045670,-0.979592,-0.195739,0.000000
7598.015170,-0.045670,-0.979592,-0.195739,0.000000
7598.080975,-0.045670,-0.979592,-0.195739,0.000000
7598.135673,-0.045670,-0.979592,-0.195739,0.000000
7598.162400,-0.045670,-0.979592,-0.195739,0.000000
7598.202658,-0.045670,-0.979592,-0.195739,0.000000
7598.238254,-0.045670,-0.979592,-0.195739,0.000000
7598.274890,-0.045670,-0.979592,-0.195739,0.000000
7598.293999,-0.045670,-0.979592,-0.195739,0.000000
7598.341814,-0.045670,-0.979592,-0.195739,0.000000
7598.381663,-0.045670,-0.979592,-0.195739,0.000000
7598.421308,-0.045670,-0.979592,-0.195739,0.000000
7598.453915,-0.045670,-0.979592,-0.195739,0.000000
7598.515530,-0.045670,-0.979592,-0.195739,0.000472
7598.559506,-0.045670,-0.979592,-0.195739,0.000579
7598.578226,-0.045670,-0.979592,-0.195739,0.000173
7598.622941,-0.045670,-0.979592,-0.195739,0.002256
7598.655822,-0.045670,-0.979592,-0.195739,0.001124
7598.694860,-0.045670,-0.979592,-0.195739,0.002528
7598.716989,-0.045670,-0.979592,-0.195739,0.001490
7598.764875,-0.045670,-0.979592,-0.195739,0.003353
7598.787373,-0.045670,-0.979592,-0.195739,0.001745
7598.835962,-0.045670,-0.979592,-0.195739,0.003901
7598.858242,-0.045670,-0.979592,-0.195739,0.001740
7598.903187,-0.045670,-0.979592,-0.195739,0.003606
7598.924098,-0.045670,-0.979592,-0.195739,0.001753
7598.972743,-0.045670,-0.979592,-0.195739,0.003379
7598.989192,-0.045670,-0.979592,-0.195739,0.001179
7599.036306,-0.045670,-0.979592,-0.195739,0.003203
7599.069119,-0.045670,-0.979592,-0.195739,0.001563
7599.108733,-0.045670,-0.979592,-0.195739,0.003506
7599.126209,-0.045670,-0.979592,-0.195739,0.001342
7599.169768,-0.045670,-0.979592,-0.195739,0.003024
7599.199126,-0.045670,-0.979592,-0.195739,0.002095
7599.262991,-0.045670,-0.979592,-0.195739,0.002624
7599.304881,-0.045670,-0.979592,-0.195739,